SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,HITRUST_Module,HITRUST_Control_ID,HITRUST_Control_Name,HITRUST_Requirement
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,Risk Management,HITRUST-03.a,Risk Management Program Development,Organizations must conduct comprehensive risk assessments
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,Risk Management,HITRUST-03.a,Risk Management Program Development,Assign responsibility for risk management
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Compliance,HITRUST-06.a,Identification of Applicable Legislation,Monitor and adjust security program
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,Risk Management,HITRUST-03.b,Performing Risk Assessments,Document all identified risks
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,Risk Management,HITRUST-03.b,Performing Risk Assessments,Perform periodic risk assessments
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,Risk Management,HITRUST-03.c,Risk Mitigation,Implement controls to address risks
Cybersecurity Data Privacy Governance,GOV,GOV-04,Management Reporting,Risk Management,HITRUST-03.d,Risk Evaluation,Report risk status to leadership
Risk Management,RSK,RSK-01,Risk Management Program,Risk Management,HITRUST-03.a,Risk Management Program Development,Conduct comprehensive risk analysis
Risk Management,RSK,RSK-01.1,Risk Assessment,Risk Management,HITRUST-03.b,Performing Risk Assessments,Perform periodic risk assessments
Risk Management,RSK,RSK-02,Risk Response,Risk Management,HITRUST-03.c,Risk Mitigation,Implement safeguards to control risks
Risk Management,RSK,RSK-03,Risk Monitoring,Risk Management,HITRUST-03.d,Risk Evaluation,Monitor and adjust security program
Asset Management,AST,AST-01,Asset Management Program,Asset Management,HITRUST-07.a,Inventory of Assets,Maintain inventory of all assets
Asset Management,AST,AST-01.1,Asset Dependency Analysis,Asset Management,HITRUST-07.a,Inventory of Assets,Document system dependencies
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,Asset Management,HITRUST-07.a,Inventory of Assets,Keep asset inventory current
Business Continuity Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,Business Continuity Management,HITRUST-12.c,Developing and Implementing Continuity Plans,Establish disaster recovery procedures
Business Continuity Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,Business Continuity Management,HITRUST-12.c,Developing and Implementing Continuity Plans,Develop written recovery plans
Business Continuity Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,Business Continuity Management,HITRUST-12.e,Testing Maintaining and Re-assessing Business Continuity Plans,Test disaster recovery plan regularly
Change Management,CHG,CHG-01,Change Management Program,Communications and Operations Management,HITRUST-09.b,Change Management,Manage changes to prevent disruptions
Cloud Security,CLD,CLD-01,Cloud Security Governance,Organization of Information Security,HITRUST-05.f,Identification of Risks from Third Party Access,Oversee cloud service security
Cloud Security,CLD,CLD-01.1,Secured Development Within Cloud Environments,Organization of Information Security,HITRUST-05.g,Addressing Security in Third Party Agreements,Require safeguards for cloud services
Compliance,CPL,CPL-01,Compliance Monitoring Program,Compliance,HITRUST-06.g,Compliance with Security Policies and Standards,Conduct periodic security assessments
Compliance,CPL,CPL-01.1,Compliance Assessment,Compliance,HITRUST-06.h,Technical Compliance Checking,Plan and execute assessments
Compliance,CPL,CPL-02,Compliance Reporting,Compliance,HITRUST-06.g,Compliance with Security Policies and Standards,Report compliance status to leadership
Configuration Management,CFG,CFG-01,Configuration Management Program,Communications and Operations Management,HITRUST-09.ad,Baseline Configuration and Standards,Implement secure configurations
Configuration Management,CFG,CFG-01.1,Configuration Standards,Communications and Operations Management,HITRUST-09.ad,Baseline Configuration and Standards,Apply baseline configurations
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,Communications and Operations Management,HITRUST-09.m,Operator Logs,Monitor for unauthorized access
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,Communications and Operations Management,HITRUST-09.m,Operator Logs,Implement centralized logging
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,Communications and Operations Management,HITRUST-09.p,System Monitoring and Performance Tracking,Analyze logs to detect incidents
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,Information Systems Acquisition Development and Maintenance,HITRUST-10.d,Policy on Use of Cryptographic Controls,Implement encryption protections
