SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,GLBA_Section,GLBA_Requirement_ID,GLBA_Requirement_Description
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,314.3,,Develop implement and maintain a comprehensive information security program
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,314.4,,Designate a qualified individual to oversee the information security program
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,314.4,,Develop implement and maintain written policies and procedures
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,314.4,GLBA-314.4-R1,Identify reasonably foreseeable internal and external risks
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,314.4,GLBA-314.4-R1,Assess the sufficiency of existing policies procedures and safeguards
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,314.4,GLBA-314.4-R2,Design and implement safeguards to control identified risks
Cybersecurity Data Privacy Governance,GOV,GOV-04,Management Reporting,314.5,,Report in writing to board or governing body at least annually
Risk Management,RSK,RSK-01,Risk Management Program,314.4,GLBA-314.4-R1,Conduct risk assessment to identify risks to customer information
Risk Management,RSK,RSK-01.1,Risk Assessment,314.4,GLBA-314.4-R1,Perform periodic risk assessments of customer information
Risk Management,RSK,RSK-02,Risk Response,314.4,GLBA-314.4-R2,Implement safeguards to control assessed risks
Risk Management,RSK,RSK-03,Risk Monitoring,314.4,,Adjust information security program based on test results and changes
Asset Management,AST,AST-01,Asset Management Program,314.4,GLBA-314.4-R1,Identify information systems storing customer information
Asset Management,AST,AST-01.1,Asset Dependency Analysis,314.4,GLBA-314.4-R1,Analyze dependencies of systems processing customer information
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,314.4,,Maintain inventory of information systems with customer information
Asset Management,AST,AST-02,Asset Tracking and Management,314.4,,Monitor information systems that store customer information
Asset Management,AST,AST-02.1,Asset Location Monitoring,314.4,,Track location of systems processing customer information
Business Continuity Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,314.4,,Implement incident response plan
Business Continuity Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,314.4,,Develop procedures to respond to security events
Business Continuity Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,314.4,,Test key controls and safeguards periodically
Change Management,CHG,CHG-01,Change Management Program,314.4,,Maintain policies for secure change management
Cloud Security,CLD,CLD-01,Cloud Security Governance,314.4,GLBA-314.4-R3,Oversee service provider arrangements
Cloud Security,CLD,CLD-01.1,Secured Development Within Cloud Environments,314.4,GLBA-314.4-R3,Ensure service providers maintain appropriate safeguards
Compliance,CPL,CPL-01,Compliance Monitoring Program,314.4,,Monitor and test effectiveness of safeguards
Compliance,CPL,CPL-01.1,Compliance Assessment,314.4,,Regularly test or otherwise monitor key controls
Compliance,CPL,CPL-02,Compliance Reporting,314.5,,Report compliance status to board or governing body
Configuration Management,CFG,CFG-01,Configuration Management Program,314.4,,Implement access controls for customer information
Configuration Management,CFG,CFG-01.1,Configuration Standards,314.4,,Document secure system configurations
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,314.4,,Implement continuous monitoring or periodic penetration testing
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,314.4,,Monitor for unauthorized access to customer information
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,314.4,,Detect security events affecting customer information
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,314.4,GLBA-314.4-R2,Implement encryption of customer information
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,314.4,GLBA-314.4-R2,Encrypt customer information at rest
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,314.4,GLBA-314.4-R2,Encrypt customer information in transit
