clause_id,clause_name,description,category,parent_clause
4,Context of the organization,Understanding the organization and its context,main_clause,
4.1,Understanding the organization and its context,Determining external and internal issues that are relevant to its purpose,subclause,4.0
4.2,Understanding the needs and expectations of interested parties,Determining the interested parties that are relevant to the AI management system,subclause,4.0
4.3,Determining the scope of the AI management system,Determining the boundaries and applicability of the AI management system to establish its scope,subclause,4.0
4.4,AI management system,"Establishing, implementing, maintaining and continually improving an AI management system",subclause,4.0
5,Leadership,Leadership and commitment,main_clause,
5.1,Leadership and commitment,Top management demonstrating leadership and commitment with respect to the AI management system,subclause,5.0
5.2,AI policy,Top management establishing an AI policy,subclause,5.0
5.3,Roles responsibilities and authorities,Assigning the responsibility and authority for relevant roles,subclause,5.0
6,Planning,Actions to address risks and opportunities,main_clause,
6.1,Actions to address risks and opportunities,Determining the risks and opportunities that need to be addressed,subclause,6.0
6.1.1,General,Establishing and maintaining AI risk criteria,subclause,6.1
6.1.2,AI risk assessment,Defining and establishing an AI risk assessment process,subclause,6.1
6.1.3,AI risk treatment,Defining an AI risk treatment process to select appropriate AI risk treatment options,subclause,6.1
6.1.4,AI system impact assessment,"Assessing the potential consequences for individuals or groups of individuals, or both, and societies",subclause,6.1
6.2,AI objectives and planning to achieve them,Establishing AI objectives at relevant functions and levels,subclause,6.0
6.3,Planning of changes,Carrying out changes to the AI management system in a planned manner,subclause,6.0
7,Support,Resources and competence,main_clause,
7.1,Resources,"Determining and providing the resources needed for the establishment, implementation, maintenance and continual improvement",subclause,7.0
7.2,Competence,Determining the necessary competence of person(s) doing work under its control,subclause,7.0
7.3,Awareness,Ensuring persons doing work under the organization's control are aware of the AI policy,subclause,7.0
7.4,Communication,Determining the internal and external communications relevant to the AI management system,subclause,7.0
7.5,Documented information,Managing documented information required by the AI management system,subclause,7.0
8,Operation,Operational planning and control,main_clause,
8.1,Operational planning and control,"Planning, implementing and controlling the processes needed to meet requirements",subclause,8.0
8.2,AI risk assessment,Performing AI risk assessments in accordance with 6.1.2 at planned intervals,subclause,8.0
8.3,AI risk treatment,Implementing the AI risk treatment plan according to 6.1.3 and verifying its effectiveness,subclause,8.0
8.4,AI system impact assessment,Performing AI system impact assessments according to 6.1.4 at planned intervals,subclause,8.0
9,Performance evaluation,"Monitoring, measurement, analysis and evaluation",main_clause,
9.1,Monitoring measurement analysis and evaluation,Determining what needs to be monitored and measured,subclause,9.0
9.2,Internal audit,Conducting internal audits at planned intervals,subclause,9.0
9.3,Management review,Top management reviewing the organization's AI management system at planned intervals,subclause,9.0
10,Improvement,Continual improvement,main_clause,
10.1,Continual improvement,"Continually improving the suitability, adequacy and effectiveness of the AI management system",subclause,10.0
10.2,Nonconformity and corrective action,Reacting to nonconformity and taking action to control and correct it,subclause,10.0
10.2(a),Nonconformity and corrective action - React to the nonconformity and as applicable,react to the nonconformity and as applicable:,subclause,10.2
10.2(a)(1),Nonconformity and corrective action - Take action to control and correct it,take action to control and correct it;,subclause,10.2(a)
10.2(a)(2),Nonconformity and corrective action - Deal with the consequences,deal with the consequences;,subclause,10.2(a)
10.2(b),"Nonconformity and corrective action - Evaluate the need for action to eliminate the cause(s) of the nonconformity,","evaluate the need for action to eliminate the cause(s) of the nonconformity, so that it does not recur or occur elsewhere, by:",subclause,10.2
10.2(b)(1),Nonconformity and corrective action - Reviewing the nonconformity,reviewing the nonconformity;,subclause,10.2(b)
10.2(b)(2),Nonconformity and corrective action - Determining the causes of the nonconformity,determining the causes of the nonconformity;,subclause,10.2(b)
10.2(b)(3),Nonconformity and corrective action - Determining if similar nonconformities exist or can potentially occur,determining if similar nonconformities exist or can potentially occur;,subclause,10.2(b)
