rule_id,rule_name,cfr_reference,description,applicable_entities,rule_type
FRAME-00,RegulatoryComplianceFramework,HIPAA,The foundational federal privacy and security framework,All,Framework
R01,PrivacyRule,"45 CFR Part 164, Subparts A & E",Protects PHI and defines rights (incl. 2024 Reproductive Health updates),CoveredEntity;BusinessAssociate,Privacy
R02,SecurityRule,"45 CFR Part 164, Subpart C",Defines administrative physical and technical safeguards for ePHI,CoveredEntity;BusinessAssociate,Security
R03,BreachNotificationRule,"45 CFR Part 164, Subpart D",Defines breach assessment and reporting requirements,CoveredEntity;BusinessAssociate,Breach
R04,EnforcementRule,"45 CFR Part 160, Subparts C, D & E",Establishes investigations penalties and compliance procedures,CoveredEntity;BusinessAssociate,Enforcement
STD-00,RegulatoryStandard,45 CFR 164.306(d),A specific standard within a HIPAA Rule (e.g. Access Control),CoveredEntity;BusinessAssociate,Standard
SPEC-00,ImplementationSpecification,45 CFR 164.306(d),"Detailed instruction for a Standard; designated either Required (must be implemented) or Addressable (assess whether reasonable and appropriate; if not, document why and implement an equivalent alternative measure if reasonable and appropriate)",CoveredEntity;BusinessAssociate,Specification
PD00,PermittedUsesAndDisclosures,45 CFR 164.502,"Six categories a covered entity may use/disclose PHI without authorization: (1) to the individual; (2) treatment, payment, health care operations; (3) opportunity to agree or object; (4) incident to a permitted use; (5) public interest and benefit activities; (6) limited data set",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD01,RequiredByLaw,45 CFR 164.512(a),"Use/disclosure required by law including statute, regulation, or court orders",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD02,PublicHealthActivities,45 CFR 164.512(b),"Disclosures to public health authorities for disease/injury prevention and control, FDA-regulated product safety, communicable disease exposure notification, and work-related illness/injury surveillance to employers",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD03,VictimsOfAbuseNeglectOrDomesticViolence,45 CFR 164.512(c),"Disclosures to appropriate government authorities regarding victims of abuse, neglect, or domestic violence",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD04,HealthOversightActivities,45 CFR 164.512(d),Disclosures to health oversight agencies for audits and investigations overseeing the health care system and government benefit programs,CoveredEntity;BusinessAssociate,PermittedDisclosure
